Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
fumiguinha,888 Poker,8351,26.07,18.63,8.85,0.26,4.2,46.38,28.52,43.73,14.74,13.21,33.84,38.21,40.56,52.52,-1.06,-4.67,-7.94,-323.27,10
Alexandrr79,888 Poker,8351,21.01,14.97,4.9,1.26,2.35,66.18,24.61,41.77,13.92,9.71,41.03,35.35,26.57,50.0,0.72,5.66,-16.27,-247.55,10
Rockadown11,888 Poker,8350,26.01,17.24,9.15,0.19,5.3,62.18,27.27,41.13,15.02,12.68,32.28,40.02,35.64,55.86,14.97,9.85,-12.49,1369.7,10
wesleykanoff,888 Poker,8344,24.46,17.5,8.0,0.08,3.97,44.62,24.92,40.33,12.38,12.66,35.61,39.36,45.75,64.17,8.85,2.6,-9.54,927.8,10
sascha1968,888 Poker,8338,80.74,48.86,55.08,16.67,24.13,15.37,43.08,53.65,13.99,27.24,47.26,11.52,86.23,29.05,-136.4,-44.93,100.51,-13381.72,9
LarisaUP,888 Poker,8336,28.4,13.79,14.22,5.32,3.07,14.04,31.62,37.86,18.99,14.55,27.74,38.72,26.99,44.59,-15.8,-18.09,-18.97,-853.42,14
Krockarn1,888 Poker,8336,28.68,18.96,13.32,0.17,6.19,56.67,27.53,41.36,16.2,13.84,34.01,35.94,43.49,46.67,9.36,8.61,-12.01,557.38,5
WitchyRanger,888 Poker,8334,40.63,9.15,27.95,33.62,3.49,8.62,28.49,41.26,13.61,16.94,38.98,30.46,51.35,42.47,-21.04,3.88,-6.92,-2987.21,2
IulianGroza,888 Poker,8331,29.26,15.95,16.51,3.18,4.45,42.31,26.38,37.57,14.63,13.27,30.95,41.16,30.42,61.31,14.36,0.41,-23.47,521.73,10
garned7676,888 Poker,8330,22.72,12.94,11.07,2.43,2.74,48.48,24.59,35.08,18.54,10.28,26.79,44.39,42.08,64.77,-10.19,-14.91,-31.93,-1352.84,1
edigadegi,888 Poker,8322,24.48,16.41,9.16,1.39,2.38,54.2,27.49,42.03,13.76,11.99,38.27,35.98,38.91,60.0,7.83,6.99,-9.79,972.09,10
chrjaz,888 Poker,8316,28.24,15.05,17.52,3.53,4.74,28.68,26.77,39.64,15.95,12.78,37.09,34.18,41.18,48.34,-3.09,3.75,-11.74,-1408.19,7
LUFC3740,888 Poker,8311,19.47,11.65,13.55,1.58,4.25,5.43,35.51,52.69,17.23,21.28,44.43,17.06,63.03,34.21,8.31,3.93,10.94,445.6,11
Wookie1981,888 Poker,8310,31.57,10.73,19.99,20.38,2.12,0.0,35.04,37.39,22.2,13.96,22.32,41.53,36.69,43.81,-17.64,-8.41,-21.91,-1414.54,15
WheelChairBr,888 Poker,8309,23.11,14.5,8.7,0.0,4.68,58.09,28.88,38.17,18.12,13.55,30.71,37.62,31.42,57.35,2.87,3.14,-20.62,-616.98,7
0lIOR4AGARGA,888 Poker,8304,32.86,22.23,13.64,3.0,2.96,46.12,35.15,40.8,20.31,15.73,25.43,38.53,25.08,54.21,-0.74,0.21,-15.81,-515.83,6
Rabisco88,888 Poker,8300,23.87,18.07,5.04,0.05,3.33,54.71,25.06,43.11,11.26,12.46,37.54,38.74,42.95,41.43,-2.7,-1.8,-4.9,-628.43,0
Micjames9999,888 Poker,8300,28.68,8.75,20.72,15.69,1.54,15.49,30.61,37.86,20.38,12.38,27.5,39.75,40.05,39.16,13.56,3.15,-13.38,1179.35,17
Tedda,888 Poker,8298,26.89,15.59,17.52,1.97,1.91,19.31,36.71,41.49,17.41,18.93,33.04,30.62,47.23,41.21,-2.53,0.46,-12.03,-416.61,19
p314p,888 Poker,8294,25.21,17.4,5.97,0.34,3.87,57.71,22.78,36.98,14.53,10.16,29.9,45.42,36.19,71.55,4.32,4.21,-19.66,536.7,16
Seeford72,888 Poker,8286,25.58,12.42,18.7,1.94,2.58,23.73,31.1,39.66,19.0,14.69,31.67,34.64,44.32,55.56,-0.72,0.83,-17.58,-348.95,14
Flushuout,888 Poker,8283,36.61,6.02,23.85,26.2,0.46,0.0,30.49,31.18,16.25,17.29,20.52,45.94,28.04,48.34,-4.34,-6.19,-32.92,-355.65,15
Terramonkey,888 Poker,8280,22.21,15.69,9.0,0.16,2.8,54.21,37.98,41.49,24.31,15.72,23.01,36.95,27.01,34.4,7.09,5.69,-12.47,198.29,14
HereWGO,888 Poker,8279,23.0,16.96,6.33,0.23,7.22,55.5,23.23,45.75,13.41,9.33,39.5,37.76,46.0,69.17,5.25,5.1,-16.2,0.61,3
EuVFT12,888 Poker,8278,28.47,17.59,11.2,0.46,5.58,52.83,28.95,36.35,18.19,13.28,26.79,41.74,47.73,55.2,13.7,13.17,-18.88,1311.49,10
shutupbulio_,888 Poker,8273,26.74,17.97,7.96,0.42,3.18,60.87,28.53,45.83,15.51,12.03,38.59,33.87,40.54,42.57,15.46,13.04,-7.88,1313.05,0
rickmald,888 Poker,8270,20.48,13.94,7.05,1.03,6.12,54.55,27.71,44.03,17.26,12.02,35.44,35.29,35.71,42.98,9.8,-1.48,-12.16,819.76,7
haydar31,888 Poker,8265,26.71,5.96,19.64,22.66,1.39,41.86,29.83,35.48,19.55,12.24,27.34,40.86,30.27,50.0,4.02,13.62,-34.04,-365.35,17
Maxaranguape,888 Poker,8261,32.5,22.99,11.95,2.09,6.67,64.59,29.16,48.8,12.62,14.0,44.96,28.42,46.11,64.0,4.02,5.02,-6.02,432.95,8
Ryder56,888 Poker,8260,21.25,12.04,8.08,0.65,2.89,34.62,29.06,40.1,16.82,14.97,31.17,37.04,39.87,48.12,5.41,4.98,-13.14,327.8,7
marcus493,888 Poker,8256,35.59,17.09,24.85,7.83,6.28,17.45,29.8,38.85,15.16,17.77,30.22,36.85,33.26,68.07,-25.84,-22.15,-23.11,-3342.14,6
felipeboca,888 Poker,8248,24.91,17.14,9.64,0.06,5.58,55.41,30.67,45.48,17.11,12.67,35.61,34.6,32.24,62.22,2.17,5.04,-14.23,427.02,10
SharkPro73,888 Poker,8248,29.61,15.07,17.9,9.7,3.2,46.71,22.7,45.61,10.06,13.55,43.72,32.68,54.44,63.22,9.91,5.35,0.56,1013.38,11
LittmannIgor,888 Poker,8247,25.09,18.12,8.31,0.08,5.86,54.77,26.8,42.89,15.24,13.57,36.98,34.21,39.84,50.44,1.47,1.77,-6.46,896.48,0
overbet13,888 Poker,8246,18.04,12.44,6.9,0.06,3.26,47.93,24.54,40.15,14.59,9.61,33.63,42.17,32.62,58.59,9.35,3.72,-14.59,485.36,16
johnwalsh14,888 Poker,8238,42.73,15.76,37.18,13.48,2.13,15.52,33.84,34.24,17.86,19.55,24.6,37.99,34.62,53.06,-46.06,-20.72,-40.73,-5389.07,6
TheKKing23,888 Poker,8236,24.59,18.37,5.43,0.11,4.04,59.31,24.74,40.88,13.98,9.04,32.2,44.77,40.69,72.04,8.72,6.7,-13.28,761.83,16
K1dlucky,888 Poker,8234,29.1,21.32,7.32,0.06,8.94,63.54,23.38,48.03,12.13,12.23,42.37,33.27,47.72,49.11,-3.74,18.25,-8.53,-206.91,8
Cansolar,888 Poker,8234,24.05,14.33,13.78,0.11,3.4,31.55,27.12,38.56,16.75,10.92,26.67,45.66,28.47,47.31,7.11,5.16,-17.83,633.5,1
gigibaston21,888 Poker,8234,28.26,17.99,9.13,9.14,4.21,5.26,32.94,44.37,20.21,14.93,33.63,31.22,38.01,51.11,-1.31,-0.39,1.5,139.75,14
RickyRedFoot,888 Poker,8230,28.27,14.26,20.2,1.49,3.16,25.18,36.65,41.66,17.14,19.62,30.02,33.22,24.63,50.72,19.08,4.53,-18.14,1642.17,14
L1cence2spew,888 Poker,8229,22.14,16.48,6.12,0.14,4.11,48.25,30.55,43.32,16.93,14.14,35.95,32.98,37.39,43.1,1.17,5.84,-9.85,531.85,7
SSSA888,888 Poker,8222,27.04,15.52,12.77,3.38,4.79,58.64,22.78,39.67,15.31,11.38,36.18,37.13,42.9,58.65,2.36,-6.79,-14.09,159.23,10
Rokstar66662,888 Poker,8215,14.67,9.06,11.27,0.09,1.82,30.3,29.22,38.86,20.13,11.86,29.31,38.7,40.64,47.37,1.29,-1.59,-21.55,332.76,1
eshy888,888 Poker,8215,23.45,15.28,6.22,0.09,5.0,57.42,30.81,44.78,18.64,13.78,33.6,33.99,37.84,51.41,11.29,5.07,-13.09,1435.09,7
