Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
Eigels14,888 Poker,725,33.75,19.35,20.9,0.0,1.0,50.0,23.81,34.52,19.05,10.71,27.38,42.86,34.38,60.0,-23.85,-44.52,-32.28,-212.47,1
Whipet619,888 Poker,725,20.25,4.93,12.77,16.67,0.5,0.0,30.77,46.15,15.52,15.52,39.66,29.31,37.5,50.0,-7.31,-4.63,-16.82,-92.44,13
EliJ69,888 Poker,725,31.51,18.44,15.45,0.0,0.55,50.0,38.0,42.0,17.28,19.75,32.1,30.86,38.46,31.25,3.57,-13.07,-5.27,280.12,19
KROOMAN,888 Poker,725,27.78,15.34,12.04,8.25,4.35,53.33,26.62,36.36,14.1,8.97,30.77,46.15,51.43,52.63,-55.13,-43.77,-42.3,-175.7,16
henrysport,888 Poker,725,32.78,23.46,8.47,0.29,7.33,82.61,27.94,47.06,15.96,10.64,35.11,38.3,38.89,66.67,6.23,19.77,-14.38,21.36,3
Gala24,888 Poker,725,48.75,19.42,32.08,22.36,7.41,17.65,37.66,39.33,15.38,22.12,34.62,27.88,64.91,41.18,-50.5,-41.61,-19.06,-323.98,2
Fra_te_le,888 Poker,725,28.83,17.24,14.14,1.54,4.4,50.0,31.33,42.0,15.0,23.75,33.75,27.5,48.89,37.5,2.8,13.97,9.3,340.58,19
Speno2023,888 Poker,725,24.69,8.93,20.34,13.75,5.2,14.29,40.74,36.3,7.41,31.48,25.93,35.19,50.0,40.0,-49.25,-54.25,-30.62,-442.52,19
muckinAAsoul,888 Poker,725,33.01,24.82,7.25,0.0,5.39,25.0,32.65,48.3,12.05,15.66,43.37,28.92,34.15,53.33,31.94,25.19,37.45,135.98,4
KeyserSuze,888 Poker,724,28.99,12.54,14.14,11.76,8.02,11.11,23.27,46.54,13.41,4.88,48.78,32.93,50.0,80.0,44.09,3.54,-0.34,494.1,3
ErikyDani,888 Poker,724,28.51,20.03,9.71,0.32,5.2,46.67,29.37,38.1,6.41,21.79,37.18,34.62,57.14,33.33,-16.03,-1.27,-7.92,-37.0,11
Eva.199,888 Poker,724,33.94,19.33,22.95,1.2,4.69,20.0,24.71,50.59,18.02,8.11,39.64,34.23,38.1,55.0,38.8,-13.34,2.86,482.69,5
gummyblair,888 Poker,724,20.97,2.83,9.18,18.31,1.32,50.0,29.55,33.33,25.0,3.13,21.88,50.0,21.74,85.71,-8.82,-19.58,-29.79,-63.39,17
BadApple8,888 Poker,724,38.09,17.56,20.33,14.69,9.41,42.86,28.77,46.7,17.14,15.71,40.0,27.14,63.89,33.33,75.27,-12.56,11.16,530.89,4
ionnut888,888 Poker,724,42.19,11.22,32.54,24.1,2.62,25.0,29.88,39.83,17.71,13.54,33.33,35.42,49.09,52.63,-21.05,3.06,6.17,-408.34,13
777BR,888 Poker,724,18.84,6.49,14.0,7.32,0.0,60.0,34.82,42.86,22.0,12.0,30.0,36.0,33.33,25.0,18.48,-2.52,-25.81,236.98,14
enemiesAA,888 Poker,724,30.78,18.44,10.24,2.74,7.47,0.0,37.5,47.37,23.08,16.92,41.54,18.46,37.84,18.18,43.18,7.59,22.4,146.06,19
maumon,888 Poker,724,22.08,5.09,20.33,15.69,1.54,25.0,29.55,34.09,16.39,16.39,27.87,39.34,25.71,76.92,-6.32,2.06,-27.57,-81.42,17
Dexter1798,888 Poker,724,19.53,14.63,5.04,0.69,5.39,57.14,25.97,44.16,4.88,17.07,39.02,39.02,50.0,75.0,-12.69,-18.73,-9.34,-226.13,3
gabsomen1,888 Poker,724,37.95,10.3,27.16,29.69,1.52,0.0,28.5,41.55,8.33,18.33,41.67,31.67,45.83,44.44,-0.09,-15.42,-0.08,-12.54,2
kngkng1989,888 Poker,724,29.13,20.61,12.69,0.64,1.44,47.83,32.73,44.55,13.24,11.76,35.29,39.71,20.0,50.0,0.76,-4.83,-8.4,-80.27,10
Negreanu787,888 Poker,723,21.64,11.27,11.59,1.99,1.23,42.86,16.98,39.62,14.55,5.45,36.36,43.64,50.0,66.67,15.92,23.05,-10.62,166.94,16
Hariukas69,888 Poker,723,42.76,3.58,38.52,42.86,2.67,0.0,36.33,39.7,14.71,25.49,26.47,33.33,50.0,44.74,0.7,-8.2,-41.05,-373.99,12
Vasilian1219,888 Poker,723,74.65,26.41,60.8,37.81,10.5,20.0,29.02,44.6,14.89,16.49,32.45,36.17,59.57,47.22,1.94,44.28,17.52,-54.16,2
ceai.,888 Poker,723,18.98,12.54,10.43,0.32,3.6,64.29,21.52,37.97,9.09,9.09,36.36,45.45,31.25,75.0,-13.62,-24.09,-22.09,-233.47,16
jc_9918,888 Poker,723,29.43,17.5,22.73,0.33,2.92,53.33,25.83,41.06,14.29,10.0,35.71,40.0,35.48,71.43,-0.11,7.0,-16.34,-256.62,16
Firefly205,888 Poker,723,21.62,10.37,11.43,0.62,0.0,55.56,29.27,34.96,14.29,18.37,32.65,34.69,56.52,44.44,-23.64,-28.95,-21.44,-194.77,18
Lov3d2Two,888 Poker,723,32.08,11.17,21.99,11.76,1.86,25.0,17.79,27.61,13.89,5.56,18.06,62.5,24.0,66.67,2.53,-20.37,-42.79,117.2,17
vkonovalov,888 Poker,723,25.83,19.24,6.13,0.0,6.67,47.06,32.48,53.85,12.64,20.69,39.08,27.59,24.14,38.46,-14.06,4.89,31.43,100.13,19
Pete911,888 Poker,723,37.25,19.41,20.69,10.57,6.42,24.0,33.33,35.8,16.0,23.0,23.0,38.0,28.95,47.06,-4.17,-0.4,-22.34,-21.77,6
BrGambler,888 Poker,723,28.07,18.53,20.0,4.84,8.85,20.0,27.74,52.26,12.99,10.39,46.75,29.87,50.0,41.18,125.25,6.8,-2.97,1014.07,4
Teixeira_K,888 Poker,723,30.82,20.23,17.69,0.31,8.93,57.14,29.01,45.8,11.69,14.29,42.86,31.17,50.0,75.0,4.29,-9.05,-5.29,-47.11,8
Jumber88,888 Poker,723,43.08,1.77,27.66,43.2,0.66,31.82,26.02,27.24,14.86,10.81,21.62,52.7,55.81,50.0,2.16,-17.55,-57.52,-279.91,12
hundsknochen,888 Poker,723,33.61,15.23,23.78,1.95,0.86,21.43,29.57,41.94,17.27,13.64,32.73,36.36,53.7,32.0,-21.9,-9.68,-27.76,-269.38,6
CatalinZ11,888 Poker,722,20.03,15.01,2.8,0.0,5.69,57.14,18.52,35.8,2.44,12.2,46.34,39.02,25.0,80.0,-15.31,-0.67,-7.57,-53.2,3
Cunda68,888 Poker,722,40.95,9.7,34.26,26.67,1.67,0.0,33.33,38.16,19.32,14.77,30.68,35.23,35.29,61.29,-24.09,-44.46,-29.95,-398.77,15
Jimbonda45,888 Poker,722,41.14,12.25,29.81,22.14,4.03,0.0,35.59,35.59,19.4,19.4,29.85,31.34,36.36,12.5,-10.15,10.35,-28.6,-377.58,15
Melaksanteri,888 Poker,722,12.59,8.83,0.0,0.0,2.06,25.0,23.53,33.33,29.17,4.17,12.5,54.17,0.0,50.0,-1.64,-0.71,-17.46,25.66,1
Berja007,888 Poker,722,17.04,12.02,4.65,1.35,5.77,60.0,34.25,36.99,9.09,27.27,29.55,34.09,46.15,58.33,-42.55,-36.92,-22.89,-467.7,19
Looser30,888 Poker,722,41.26,23.44,23.36,11.9,8.93,9.09,36.41,44.02,16.87,15.66,42.17,25.3,43.75,43.75,-43.1,-15.98,20.04,-80.31,9
Jammer1978,888 Poker,722,36.11,15.62,16.1,16.89,9.2,17.65,27.75,37.7,7.41,17.28,43.21,32.1,79.31,38.46,-22.66,-19.19,-15.73,-172.42,11
mg12345398,888 Poker,722,30.4,18.13,18.59,0.32,6.09,28.57,27.46,46.48,13.25,14.46,40.96,31.33,50.0,69.23,51.31,41.79,5.56,149.48,0
Soldier0976,888 Poker,721,48.8,10.33,36.04,42.67,3.37,0.0,26.07,47.5,4.24,18.64,58.47,18.64,58.0,53.57,-23.47,-8.68,23.9,58.91,2
Kevyn22,888 Poker,721,30.66,19.97,11.49,0.32,3.66,50.0,28.9,50.29,16.83,12.87,41.58,28.71,46.3,40.91,6.28,2.89,-30.49,53.09,0
vandman12,888 Poker,721,55.73,14.25,37.01,33.97,3.96,0.0,37.54,45.05,15.88,22.94,31.76,29.41,41.86,50.0,24.09,0.92,18.74,554.73,12
Hajen64,888 Poker,721,54.06,29.97,48.08,1.97,2.44,26.92,44.33,42.33,25.74,18.38,27.94,27.94,20.0,45.45,-38.33,-34.12,-35.06,-409.18,6
LucasP7,888 Poker,721,43.3,11.51,38.74,19.86,2.89,0.0,33.33,31.8,20.0,13.0,20.0,47.0,32.79,45.45,1.27,-35.18,-53.15,-2.89,15
Volvo1982,888 Poker,721,26.51,15.62,12.23,1.31,1.03,35.71,29.75,42.98,14.06,20.31,32.81,32.81,69.57,100.0,-15.03,-2.29,-0.38,-281.01,18
Tommy.co,888 Poker,721,31.98,9.64,20.0,16.55,0.63,50.0,30.86,43.43,10.61,15.15,36.36,37.88,72.73,22.22,10.32,10.48,2.09,56.17,13
AceBH,888 Poker,721,32.36,23.69,13.95,1.33,4.46,68.18,23.31,54.89,14.29,9.52,52.38,23.81,61.54,50.0,23.18,5.32,-7.77,278.18,8
hens_l,888 Poker,720,21.99,13.69,8.57,0.64,5.64,40.0,45.98,37.93,27.27,25.0,20.45,27.27,14.81,33.33,6.9,-1.33,-15.4,-30.69,14
Frasse2019,888 Poker,720,23.25,11.66,19.51,2.71,3.05,14.29,27.82,31.58,12.5,14.06,25.0,48.44,72.73,40.0,-15.1,-21.52,-32.7,-255.56,18
Nondescript3,888 Poker,720,25.31,15.13,9.88,0.0,7.98,21.43,22.13,36.07,15.28,5.56,34.72,44.44,27.59,68.75,-0.14,-34.0,-22.08,-24.47,16
89mariocas89,888 Poker,720,26.96,17.5,14.97,1.31,3.72,6.25,28.19,39.6,15.07,17.81,38.36,28.77,42.86,66.67,53.24,-14.47,1.73,363.58,19
evander20,888 Poker,720,10.89,2.34,9.57,5.42,1.12,33.33,28.77,35.62,13.33,10.0,36.67,40.0,64.29,66.67,-40.29,-11.93,-26.77,-187.44,18
Nigel364,888 Poker,720,38.41,18.1,23.47,12.54,4.67,53.85,26.15,36.41,17.74,11.29,37.1,33.87,70.97,57.14,-4.59,28.02,-24.2,-199.02,5
Guilherminbs,888 Poker,720,28.17,15.98,18.38,0.0,4.21,28.57,36.18,40.79,19.23,17.95,37.18,25.64,33.33,53.33,-12.51,4.08,-18.11,-176.71,19
TEBI38,888 Poker,720,17.22,4.94,4.24,11.84,0.88,31.82,11.25,22.5,2.94,8.82,20.59,67.65,85.71,0.0,-23.12,-29.32,-23.05,-182.74,17
JoeGunning,888 Poker,720,30.42,23.19,6.86,0.65,10.12,65.0,39.71,44.12,27.16,17.28,23.46,32.1,45.0,33.33,-12.42,2.44,-20.61,-194.68,19
vanisler,888 Poker,720,38.4,14.74,25.23,17.68,0.52,14.29,34.48,44.83,18.35,11.01,36.7,33.94,33.33,40.0,10.9,18.74,-12.14,216.45,13
dietgo,888 Poker,719,30.25,10.26,13.18,13.64,5.56,33.33,37.5,47.62,11.69,28.57,45.45,14.29,48.28,37.5,-14.47,-12.71,-4.44,-415.51,11
threeeyejack,888 Poker,719,26.43,14.33,12.68,2.33,4.39,37.5,33.86,44.09,19.05,20.63,33.33,26.98,44.12,41.67,40.48,10.58,21.29,162.34,19
HederRafael,888 Poker,719,24.65,16.79,12.63,0.0,7.84,20.0,24.14,43.1,8.0,22.0,44.0,26.0,30.43,64.71,-2.12,17.05,-2.06,-48.22,11
toysamuy,888 Poker,719,24.68,15.09,10.09,0.64,6.36,50.0,25.83,40.0,15.71,12.86,28.57,42.86,41.18,37.5,-24.12,3.82,-26.59,-94.58,7
HartmannE,888 Poker,718,32.02,15.33,15.79,15.43,5.7,21.43,35.23,43.18,19.28,22.89,30.12,27.71,63.16,38.46,-4.22,-1.93,-5.15,166.19,19
Ramrypto88,888 Poker,718,54.57,17.12,36.56,39.06,9.15,16.67,25.65,45.45,5.74,15.57,50.0,28.69,77.05,57.69,46.42,101.2,60.66,649.87,2
ForthaRecord,888 Poker,718,27.0,18.66,8.6,0.32,3.57,70.59,29.06,36.75,22.41,13.79,31.03,32.76,33.33,60.0,-21.67,-6.19,-30.47,-34.31,7
Staffemann,888 Poker,718,26.93,7.31,16.51,17.13,1.86,27.27,34.69,40.82,18.18,15.15,27.27,39.39,33.33,71.43,-18.41,-5.78,-24.47,-67.24,17
ChrlyWhsky,888 Poker,718,21.51,16.1,3.88,0.0,6.32,40.0,29.46,48.21,17.65,10.29,41.18,30.88,55.17,41.67,-26.77,-15.86,-23.59,-276.4,0
Valsor14,888 Poker,718,43.28,26.87,19.3,4.1,3.45,23.53,34.25,35.91,20.83,20.83,20.83,37.5,40.0,53.85,-84.89,-58.52,-8.35,-729.89,6
Feija,888 Poker,718,50.0,3.95,48.68,50.5,1.56,0.0,36.39,35.41,16.0,19.0,28.0,37.0,32.26,68.18,-5.13,8.73,-43.32,-268.45,12
peti19901017,888 Poker,718,21.6,14.12,17.42,0.0,3.96,45.45,36.45,45.79,29.82,14.04,31.58,24.56,37.14,20.0,-7.93,6.18,-9.34,105.95,14
deleteghost,888 Poker,718,24.62,16.62,11.27,0.67,5.94,72.73,28.95,42.11,18.18,15.15,30.3,36.36,33.33,61.11,4.08,3.26,-20.94,-70.42,10
AlecPoker217,888 Poker,717,24.47,17.68,6.52,0.33,1.42,69.23,34.71,43.8,27.45,13.73,27.45,31.37,39.39,33.33,48.37,76.9,-11.76,306.69,7
kiru888,888 Poker,717,17.95,6.97,11.34,7.46,0.0,33.33,27.47,32.97,21.95,12.2,14.63,51.22,11.11,100.0,-9.0,-5.99,-30.06,39.54,17
felipum696,888 Poker,717,43.56,10.12,26.4,33.23,2.14,28.57,22.63,45.27,15.6,7.34,43.12,33.94,69.81,51.61,8.09,24.39,-16.26,152.15,13
RaiseRaiZe,888 Poker,717,18.16,11.86,8.8,0.32,1.45,28.57,34.57,37.04,20.41,16.33,22.45,40.82,40.0,57.14,18.45,1.11,-21.53,58.72,14
Livedesign,888 Poker,717,54.56,15.42,40.16,27.46,4.97,7.69,30.13,33.65,19.55,18.8,22.56,39.1,45.71,40.0,-6.31,10.28,-73.36,96.91,2
Oxbowler2020,888 Poker,717,28.23,11.55,21.1,9.77,1.31,0.0,26.9,39.77,10.94,15.63,40.63,32.81,66.67,27.27,-44.1,-65.87,-2.86,-215.34,11
WernerV,888 Poker,716,42.37,6.01,27.63,36.64,2.55,0.0,32.08,41.13,16.81,13.27,31.86,38.05,62.0,34.78,-16.93,8.04,-38.05,169.41,12
Er00r413,888 Poker,716,23.74,16.41,14.05,0.0,4.42,42.86,27.27,35.45,16.36,16.36,25.45,41.82,18.18,42.86,-8.39,-7.82,-17.1,-92.12,7
Tuukkaq,888 Poker,716,45.2,3.0,36.29,46.03,1.02,31.82,30.68,29.55,17.54,14.04,20.18,48.25,41.67,50.0,-50.8,-57.88,-35.58,-414.74,12
Friden1,888 Poker,716,24.08,17.05,5.67,0.0,5.5,83.33,17.8,43.22,8.22,9.59,43.84,38.36,32.0,55.56,-8.19,8.16,-10.01,-38.93,3
Pasquale1550,888 Poker,716,46.53,10.41,32.63,32.27,2.86,33.33,30.42,40.91,18.58,14.16,33.63,33.63,47.46,39.29,-5.96,3.29,20.97,-102.84,2
NegreanuKidR,888 Poker,716,24.54,12.28,10.16,2.08,5.0,12.5,31.34,41.04,16.0,10.67,34.67,38.67,55.56,50.0,7.8,9.84,-2.63,-14.67,18
Hugoo2511,888 Poker,716,29.15,2.06,21.58,28.52,0.0,31.82,32.39,37.5,16.9,14.08,33.8,35.21,57.78,35.71,48.59,-20.83,-26.71,323.25,13
AlexDDuber,888 Poker,716,26.33,15.54,13.4,1.01,2.9,30.0,28.47,42.36,14.52,17.74,38.71,29.03,66.67,62.5,-35.52,-11.35,5.83,-441.2,11
Hbpoker,888 Poker,716,25.46,12.45,14.91,8.08,0.57,11.76,31.45,47.17,20.0,12.31,38.46,29.23,84.21,40.0,36.88,51.2,0.28,160.76,11
Neuticles,888 Poker,716,30.42,18.83,13.16,0.35,5.18,70.59,23.94,43.66,14.29,10.39,35.06,40.26,40.74,72.73,36.62,-6.83,-16.03,139.33,3
adilokilo,888 Poker,716,24.47,9.75,20.0,10.4,1.6,20.0,30.07,44.76,14.49,18.84,30.43,36.23,70.73,31.25,-6.62,0.25,-13.98,55.33,13
therash321,888 Poker,716,51.55,11.53,37.76,40.2,0.61,31.82,31.86,32.88,19.44,19.44,16.67,44.44,37.93,36.67,-8.62,-5.58,-56.56,70.82,12
GSalo779,888 Poker,716,22.54,16.38,3.41,2.93,5.16,50.0,31.68,49.5,19.05,11.11,42.86,26.98,73.68,33.33,-2.62,-6.81,-2.31,162.64,0
badatpoker1,888 Poker,716,49.23,21.29,34.26,22.37,9.74,58.82,31.17,52.38,9.52,20.0,49.52,20.95,83.87,38.46,-18.69,-2.79,33.09,-359.61,2
Diamonddimez,888 Poker,715,39.58,8.74,23.7,26.57,4.21,0.0,30.49,46.19,11.54,15.38,35.9,37.18,58.54,46.15,56.35,44.56,4.53,415.38,13
YaBoiRhino,888 Poker,715,18.87,14.73,5.71,0.34,1.94,66.67,25.0,36.11,16.22,10.81,32.43,40.54,55.0,60.0,11.38,-29.74,-21.21,43.24,16
peanut420,888 Poker,715,49.15,25.97,35.87,17.5,5.0,4.0,39.34,44.67,17.0,18.0,35.0,30.0,78.33,37.93,-14.43,33.93,2.31,-223.49,2
kakiyo07,888 Poker,715,23.0,12.93,11.4,0.34,1.55,85.71,29.41,37.82,21.67,18.33,31.67,28.33,33.33,12.5,7.14,14.51,-13.45,-2.13,7
GWYMER,888 Poker,715,48.59,3.88,43.81,48.8,0.0,31.82,32.01,35.97,14.44,20.0,26.67,38.89,62.3,35.48,51.68,43.21,-8.07,344.2,12
xxmedeirosxx,888 Poker,715,19.97,14.53,6.14,0.3,5.21,7.14,34.78,40.22,18.87,18.87,35.85,26.42,34.62,27.27,0.5,-2.71,-10.64,-121.56,19
palyer141551,888 Poker,715,33.94,7.76,18.94,20.13,3.76,0.0,33.33,34.9,8.99,26.97,33.71,30.34,25.58,13.04,-50.13,-14.09,5.74,-629.48,2
duckshigh,888 Poker,715,34.37,21.17,18.75,0.0,6.04,47.37,22.44,53.21,10.71,13.1,51.19,25.0,48.39,50.0,33.0,13.93,28.5,36.0,4
Gimeit,888 Poker,715,25.18,0.73,21.43,28.62,0.0,31.82,37.93,39.66,18.75,18.75,25.0,37.5,43.18,65.38,-51.38,-2.76,-44.55,-402.76,15
Bertieblade1,888 Poker,715,37.18,18.78,22.14,13.54,6.28,40.74,34.48,58.62,15.6,14.68,52.29,17.43,78.85,40.74,-10.55,7.23,64.34,-623.07,11
JulioPoker10,888 Poker,715,24.82,13.62,11.11,0.63,2.49,66.67,25.83,42.5,20.78,6.49,29.87,42.86,39.29,40.0,19.47,20.73,-21.93,83.52,1
Iownurchips,888 Poker,714,30.59,19.53,6.96,4.26,5.56,42.86,23.44,55.47,10.17,10.17,61.02,18.64,28.57,44.44,31.69,18.98,15.97,-4.38,4
WOLKOSOB,888 Poker,714,50.28,16.62,40.51,24.25,4.46,28.57,35.07,48.51,22.58,16.94,33.06,27.42,49.25,35.71,94.6,10.13,10.88,568.98,2
Kerrygerry,888 Poker,714,34.88,20.8,16.92,7.41,7.65,19.05,33.15,54.49,10.13,15.19,49.37,25.32,81.63,41.67,-33.49,-23.42,49.04,5.5,11
maxim813,888 Poker,714,16.9,12.37,5.22,0.31,5.38,57.14,20.99,46.91,15.09,5.66,43.4,35.85,52.63,42.86,38.43,-19.33,-4.77,358.23,3
Coops11s14,888 Poker,714,28.59,15.47,23.53,1.97,2.96,12.5,22.75,46.71,10.23,11.36,44.32,34.09,51.52,53.85,-11.68,-26.29,-17.71,-136.6,11
Tsgunners,888 Poker,714,35.36,21.35,21.43,3.97,7.14,36.36,26.86,35.43,12.31,16.92,40.0,30.77,42.31,44.44,-29.28,-33.77,-20.45,-116.44,4
mattapp,888 Poker,714,20.65,7.75,8.4,1.03,1.11,30.0,30.17,31.03,20.41,8.16,24.49,46.94,53.85,44.44,-2.81,-5.31,-25.79,-94.04,1
natashaScots,888 Poker,714,35.11,14.99,27.27,11.33,0.48,21.43,28.34,56.15,11.82,18.18,40.0,30.0,77.08,62.5,25.72,54.76,29.37,220.85,11
AlbAblAblA,888 Poker,714,28.85,19.07,13.77,0.0,3.1,19.05,29.37,49.21,16.9,9.86,36.62,36.62,56.25,45.45,16.07,75.34,14.09,317.62,18
Tomaskulv91,888 Poker,714,30.31,19.71,14.74,0.64,6.52,46.15,30.3,46.97,18.6,16.28,36.05,29.07,35.14,50.0,8.14,-3.78,24.24,5.46,19
DoboEverton,888 Poker,714,37.24,11.82,25.96,17.35,1.23,16.67,23.29,36.99,15.73,6.74,33.71,43.82,30.0,63.64,4.14,0.49,-30.59,21.02,13
lonelyview42,888 Poker,713,25.74,17.17,11.03,0.0,5.26,53.33,31.45,36.29,14.29,19.48,27.27,38.96,25.0,73.33,-3.09,-17.54,-15.01,-49.25,7
chadthunder7,888 Poker,713,22.03,12.46,4.72,0.33,5.69,41.67,43.81,44.76,19.35,24.19,25.81,30.65,41.67,26.67,29.44,9.73,-9.45,203.67,19
IonutAlex94,888 Poker,713,54.72,18.91,40.85,25.17,7.52,5.88,25.32,35.06,10.97,14.84,29.03,45.16,32.94,75.0,-109.33,-14.61,-44.58,11.66,2
Hitchens21,888 Poker,713,31.99,22.53,12.77,2.62,6.32,66.67,25.37,42.54,13.58,12.35,40.74,33.33,51.52,61.54,-26.66,5.84,-11.63,-248.87,8
stickybars,888 Poker,713,18.42,9.74,9.38,4.47,1.08,16.67,22.99,34.48,9.3,9.3,27.91,53.49,20.0,71.43,3.86,14.69,-26.37,0.2,16
ProNNe,888 Poker,713,25.85,16.23,13.13,1.28,4.89,12.5,33.06,41.32,18.92,18.92,33.78,28.38,25.0,42.86,13.53,-1.62,-0.7,139.04,19
Doru1313,888 Poker,713,31.31,18.58,19.05,4.53,3.76,9.09,36.3,48.89,15.58,22.08,38.96,23.38,66.67,21.43,-32.58,-7.78,5.42,-343.79,19
WillAnt,888 Poker,713,31.55,15.66,16.67,7.89,5.58,6.67,35.37,44.51,13.27,19.39,39.8,27.55,59.46,35.29,-28.41,10.27,-1.86,-312.54,11
Kalle101,888 Poker,713,24.44,6.3,17.43,19.43,0.6,33.33,31.58,42.86,16.95,16.95,37.29,28.81,42.86,46.67,-11.53,-13.17,-18.19,-217.26,13
Eule618,888 Poker,712,46.18,26.72,20.0,11.54,17.28,35.29,36.63,53.09,10.74,22.31,45.45,21.49,94.0,21.05,10.08,18.62,43.39,-43.64,9
mgiannotti,888 Poker,712,22.54,15.4,4.51,0.0,5.45,50.0,32.32,44.44,18.92,13.51,31.08,36.49,33.33,50.0,17.85,6.41,-16.55,17.05,7
Pokergirl20,888 Poker,712,37.66,23.68,23.64,0.63,5.59,15.79,32.91,41.77,19.51,19.51,30.49,30.49,39.13,30.0,15.31,15.69,-1.47,-42.53,19
INEEDVERSACE,888 Poker,712,24.15,15.91,10.14,0.34,1.03,50.0,14.89,37.23,9.52,9.52,42.86,38.1,66.67,42.86,-4.45,3.06,-20.13,-7.81,18
tatplay,888 Poker,712,32.95,10.93,28.35,24.92,2.65,12.5,36.48,45.28,16.67,30.3,39.39,13.64,83.33,22.22,-37.24,-67.37,12.45,-26.24,2
DonJojo187,888 Poker,712,39.49,27.02,21.51,1.03,9.85,26.32,34.59,51.89,14.77,21.59,46.59,17.05,60.53,14.29,20.3,33.15,32.14,-15.73,9
pietro89,888 Poker,712,15.77,9.96,5.38,4.01,4.43,0.0,28.95,48.68,14.29,9.52,30.95,45.24,68.42,37.5,4.98,-4.39,-26.52,-91.27,18
txmmydxvxs,888 Poker,712,21.44,9.38,6.6,9.03,1.32,33.33,38.54,42.71,26.19,19.05,23.81,30.95,27.27,66.67,-6.21,-6.21,-15.37,-32.49,14
penonerebel,888 Poker,711,27.12,8.31,16.94,17.06,0.0,0.0,30.77,33.85,14.52,22.58,35.48,27.42,48.28,36.36,-30.64,-29.02,-2.76,-339.59,13
owenmak,888 Poker,711,32.58,14.66,28.13,5.23,2.7,15.38,40.23,43.1,21.88,21.88,29.69,26.56,60.47,38.89,13.09,33.33,-29.06,208.98,19
robertonko70,888 Poker,711,30.5,6.97,20.45,25.08,4.0,0.0,40.67,42.67,15.94,15.94,39.13,28.99,57.14,33.33,-8.33,-10.78,-17.51,-134.52,13
fedazete,888 Poker,711,26.2,18.38,7.35,0.0,4.52,63.64,30.28,39.45,18.46,20.0,32.31,29.23,27.27,44.44,16.1,21.65,-7.22,35.23,19
D0N42O,888 Poker,711,34.89,11.82,27.78,16.17,2.9,25.0,27.32,42.27,16.85,8.99,33.71,40.45,59.09,66.67,10.49,15.21,-22.57,-102.0,13
Mpillman,888 Poker,711,44.74,1.46,46.9,45.89,0.0,31.82,25.62,36.65,11.76,13.73,39.22,35.29,56.72,48.0,-91.39,-85.12,-27.25,-777.03,12
Romajss,888 Poker,711,24.33,19.91,0.0,0.32,4.62,40.0,27.59,48.28,17.46,15.87,39.68,26.98,23.53,40.0,22.99,11.19,-2.49,184.03,19
Seanman46,888 Poker,711,32.25,13.83,19.71,8.55,2.39,14.29,35.26,50.29,17.07,19.51,37.8,25.61,58.7,36.36,17.36,-23.07,6.2,62.86,11
CandyBaby16,888 Poker,711,28.77,11.84,11.01,9.51,8.33,12.5,29.41,38.56,20.99,18.52,23.46,37.04,44.12,35.29,-50.47,33.21,-11.93,-294.31,14
GBuluga,888 Poker,711,62.29,3.74,55.77,62.01,1.92,0.0,37.02,28.53,24.37,15.13,16.81,43.7,36.73,53.33,-59.46,8.98,-75.36,-800.23,12
Durbz87,888 Poker,710,26.17,7.95,14.4,11.79,0.0,66.67,26.47,30.15,16.33,12.24,24.49,46.94,22.22,40.0,13.85,0.43,-25.28,-180.28,1
M_hansen1,888 Poker,710,40.11,10.2,21.38,34.36,6.13,0.0,28.5,30.92,6.25,21.25,37.5,35.0,68.18,25.0,-40.79,7.16,-14.66,-361.01,2
JohnBabiuk,888 Poker,710,34.38,8.65,29.27,19.39,1.97,0.0,33.18,32.23,30.68,13.64,15.91,39.77,29.55,17.65,9.21,4.39,-37.91,103.78,15
Iceman2301,888 Poker,710,46.36,34.65,19.44,0.64,9.44,45.0,29.53,52.35,13.83,19.15,43.62,23.4,62.5,40.0,-27.63,-33.34,36.21,-108.16,9
Anytwosue,888 Poker,710,24.86,9.26,15.0,17.09,0.59,0.0,29.67,36.26,10.64,21.28,31.91,36.17,71.43,57.14,-12.14,-11.71,-15.13,-163.53,13
NewcomerXX,888 Poker,710,24.61,15.62,17.78,0.96,7.21,12.5,24.11,47.32,8.2,18.03,52.46,21.31,47.37,55.56,-35.56,-0.52,16.77,-707.38,11
Joker_aop,888 Poker,710,21.19,16.31,7.32,0.33,6.67,43.75,28.44,25.69,14.29,15.87,20.63,49.21,16.0,59.09,-34.63,-9.59,-38.46,-119.16,1
12cruz12,888 Poker,710,31.63,11.75,27.1,16.77,1.31,0.0,30.46,45.4,11.63,15.12,45.35,27.91,77.78,16.67,-18.7,-5.06,-13.43,-189.18,11
T.R.Albrecht,888 Poker,710,38.01,26.22,13.66,0.33,12.34,21.05,38.18,55.76,17.53,20.62,49.48,12.37,64.1,20.0,18.6,45.47,63.07,-308.65,9
PiderParker,888 Poker,710,27.76,14.61,10.88,4.14,4.8,66.67,19.53,42.97,7.14,5.95,36.9,50.0,33.33,55.56,-7.45,-26.88,-12.08,28.64,16
